1	30.4	8.5	245	0.029411765
2	13	6.5	70	0.038461538
3	23.3	8	200	0.03125
4	22.3	9	200	0.027777778
5	32	7	250	0.035714286
6	47.5	12	300	0.020833333
7	24	8	175	0.03125
8	85	10	502	0.025
9	25.6	7	200	0.035714286
10	10.5	6	120	0.041666667
11	19	8	160	0.03125
12	57	6	300	0.041666667
13	47.5	12	300	0.020833333
14	25.6	7	200	0.035714286
15	22.3	9	200	0.027777778
16	30.4	8.5	245	0.029411765
17	23.3	8	200	0.03125
18	23.3	8	200	0.03125
19	13	6.5	70	0.038461538
20	32	7	250	0.035714286
21	24	8	175	0.03125
22	10.5	6	120	0.041666667
23	57	6	300	0.041666667
24	22.3	9	200	0.027777778
25	25.6	7	200	0.035714286
26	47.5	12	300	0.020833333
27	19	8	160	0.03125
28	47.5	12	300	0.020833333
29	19	8	160	0.03125
30	57	6	300	0.041666667
31	25.6	7	200	0.035714286
32	23.3	8	200	0.03125
33	30.4	8.5	245	0.029411765
34	13	6.5	70	0.038461538
35	32	7	250	0.035714286
36	10.5	6	120	0.041666667
37	22.3	9	200	0.027777778
38	57	6	300	0.041666667
39	25.6	7	200	0.035714286
40	25.6	7	200	0.035714286
41	13	6.5	70	0.038461538
42	10.5	6	120	0.041666667
43	47.5	12	300	0.020833333
44	25.6	7	200	0.035714286
45	24	8	175	0.03125
46	23.3	8	200	0.03125
47	30.4	8.5	245	0.029411765
48	32	7	250	0.035714286
49	22.3	9	200	0.027777778
50	57	6	300	0.041666667
51	30.4	8.5	245	0.029411765
52	10.5	6	120	0.041666667
53	47.5	12	300	0.020833333
54	10.5	6	120	0.041666667
55	25.6	7	200	0.035714286
56	24	8	175	0.03125
57	32	7	250	0.035714286
58	22.3	9	200	0.027777778
59	57	6	300	0.041666667
60	25.6	7	200	0.035714286
